"","CONTEO","SUBTRANSECTO","ALTITUD","TOTAL_CARROS","DIST_RIOS_MEAN","DIST_URBANIZACION_MEAN","DIST_AGRICOLA_MEAN","DIST_PENDIENTE_MEAN","NDVI_VEGETACION_MEAN","HI","SPD","TEMP_SUELO","DIST_ELECTRICOS_MEAN","NDMI_HUMEDAD_MEAN"
"CONTEO",1,-0.472963196996382,-0.418481626724679,0.524286415368277,0.399531515325826,-0.34426035707917,-0.324676157128553,0.216347105136909,0.154759243090636,0.47217360902143,0.524483478042574,0.396917202465757,-0.209240813362339,0.205292873487578
"SUBTRANSECTO",-0.472963196996382,1,0.825563909774436,-0.421052631578947,-0.440601503759398,0.902255639097744,0.834294613660886,0.115789473684211,-0.347368421052632,-0.676691729323308,-0.39894643420084,-0.457314812333119,0.756390977443609,-0.481203007518797
"ALTITUD",-0.418481626724679,0.825563909774436,1,-0.273684210526316,-0.44812030075188,0.798496240601504,0.797007703553137,-0.0857142857142857,-0.43609022556391,-0.66015037593985,-0.447873827074528,-0.562617565172981,0.765413533834587,-0.512781954887218
"TOTAL_CARROS",0.524286415368277,-0.421052631578947,-0.273684210526316,1,0.0150375939849624,-0.231578947368421,-0.140602723531304,-0.0992481203007519,0.0135338345864662,0.189473684210526,0.0316146230876137,0.0699511143864803,-0.0360902255639098,-0.0210526315789474
"DIST_RIOS_MEAN",0.399531515325826,-0.440601503759398,-0.44812030075188,0.0150375939849624,1,-0.55187969924812,-0.538329764680628,0.261654135338346,0.0210526315789474,0.254135338345865,0.510350344128622,0.307634470796456,-0.433082706766917,0.195488721804511
"DIST_URBANIZACION_MEAN",-0.34426035707917,0.902255639097744,0.798496240601504,-0.231578947368421,-0.55187969924812,1,0.960137935274539,0.114285714285714,-0.281203007518797,-0.678195488721804,-0.361309978144157,-0.531026739321023,0.891729323308271,-0.452631578947368
"DIST_AGRICOLA_MEAN",-0.324676157128553,0.834294613660886,0.797007703553137,-0.140602723531304,-0.538329764680628,0.960137935274539,1,-0.0396173419894834,-0.41015601118524,-0.608242721132657,-0.332461711645405,-0.503951182725385,0.918966972030566,-0.522016741508487
"DIST_PENDIENTE_MEAN",0.216347105136909,0.115789473684211,-0.0857142857142857,-0.0992481203007519,0.261654135338346,0.114285714285714,-0.0396173419894834,1,0.0571428571428571,-0.12781954887218,0.215280528644227,0.0744640895081887,0.120300751879699,-0.171428571428571
"NDVI_VEGETACION_MEAN",0.154759243090636,-0.347368421052632,-0.43609022556391,0.0135338345864662,0.0210526315789474,-0.281203007518797,-0.41015601118524,0.0571428571428571,1,0.206015037593985,0.0828002033247027,0.0330951508925283,-0.264661654135338,0.81203007518797
"HI",0.47217360902143,-0.676691729323308,-0.66015037593985,0.189473684210526,0.254135338345865,-0.678195488721804,-0.608242721132657,-0.12781954887218,0.206015037593985,1,0.399699163321974,0.80857470930609,-0.595488721804511,0.243609022556391
"SPD",0.524483478042574,-0.39894643420084,-0.447873827074528,0.0316146230876137,0.510350344128622,-0.361309978144157,-0.332461711645405,0.215280528644227,0.0828002033247027,0.399699163321974,1,0.62198812814933,-0.297328002847796,0.153556740711267
"TEMP_SUELO",0.396917202465757,-0.457314812333119,-0.562617565172981,0.0699511143864803,0.307634470796456,-0.531026739321023,-0.503951182725385,0.0744640895081887,0.0330951508925283,0.80857470930609,0.62198812814933,1,-0.519744301516752,0.107559240400717
"DIST_ELECTRICOS_MEAN",-0.209240813362339,0.756390977443609,0.765413533834587,-0.0360902255639098,-0.433082706766917,0.891729323308271,0.918966972030566,0.120300751879699,-0.264661654135338,-0.595488721804511,-0.297328002847796,-0.519744301516752,1,-0.466165413533835
"NDMI_HUMEDAD_MEAN",0.205292873487578,-0.481203007518797,-0.512781954887218,-0.0210526315789474,0.195488721804511,-0.452631578947368,-0.522016741508487,-0.171428571428571,0.81203007518797,0.243609022556391,0.153556740711267,0.107559240400717,-0.466165413533835,1
