"","CONTEO"
"CONTEO",1
"ALTITUD_MEAN",-0.805940626934108
"DIST_URBANIZACION_MEAN",-0.790202160663629
"ALTITUD",-0.771184847253467
"DIST_AGRICOLA_MEAN",-0.768502294288262
"TRANSECTO",-0.765350341307675
"DIST_ELECTRICOS_MEAN",-0.753479072699178
"SUBTRANSECTO",-0.728559834437587
"BARO",0.727484530213762
"ALT",-0.724625217869967
"LST_TEMPERATURA_MEAN",0.702984826748058
"CHIL",0.701901214904171
"HI",0.666261738783608
"DEG",0.664950199927734
"DP",0.626791225084986
"TEMP_ASF",0.601340565417882
"BULB",0.584946329719466
"TEMP_SUELO",0.536419392052156
"TS",0.449019982805519
"NDMI_HUMEDAD_MEAN",0.433463591866107
"LONG_TOTAL",-0.41508015741834
"DIST_RIOS_MEAN",0.406577045320705
"DIA",0.397561179646955
"TOTAL_CARROS",-0.375100112779748
"TC",0.36771663308767
"NDVI_VEGETACION_MEAN",0.349525105090219
"MUERTO",0.340432136754301
"DIAYEAR",0.300301049848664
"CARROS_OAX",-0.293880134838382
"NDWI_AGUA_MEAN",-0.29116162600386
"PESO",-0.264992464061562
"DIST_PENDIENTE_MEAN",-0.259684693462902
"VIVO",-0.243493225478567
"SPD",0.133052755791665
"AÑO",0.121348095752725
"RECORRIDO",0.11674069873636
"CAÑADA",0.0589645757387686
"ESCURRIMIENTOS",-0.0567386894590502
"CARROS_TUX",-0.0327991221917837
"RH_C",-0.0288538548292114
"SEMANA",0.0274463071614391
"LHC",-0.0255750076895282
"LONG_COLA",NA
